DEPTH,WOB,RPM,ROP,GAS,MWO,BIT,Flow-In,Temp,SPP,CO2
6905,39.99,54.1394175166,6.15,0.007,9.4387755112,12,1095.3111903676,12.06,2662.6034958602,270.349
6906,21.5058,63.9933,7.5723,0.006,9.4387755112,12,1308.5657194711,11.88,3685.602575897,75.197
6907,27.9897,64.889075807,2.8491,0.005,9.4387755112,12,1307.3120612048,10.98,3679.5078196872,82.919
6908,25.0588,65.9299758175,2.7584,0.001,9.4387755112,12,1309.668329507,10.26,3620.0551977921,94.27814
6909,31.8467,66.3274103669,2.6063,0.001,9.4387755112,12,1306.1671190897,10.26,3610.9705611776,46.60427
6910,29.5745,66.2012406687,3.2357,0.001,9.4387755112,12,1305.3966670058,10.08,3671.8031278749,49.3120399999
6911,33.0203,66.4220376406,3.8096,0.001,9.4387755112,12,1306.8401837757,59.58,3669.388224471,20.60805
6912,36.0464,68.6110819052,4.757,0.001,9.4387755112,12,1306.5706841414,12.06,3667.2033118675,10.97721
6913,38.6974,68.7246346336,4.461,0.001,9.4387755112,12,1308.6611335114,10.98,3583.8316467341,7.78676
6914,42.1621,60.788560614,4.5615,0.003,9.4387755112,12,1309.3044295369,10.44,3552.0929162834,13.33312
6915,18.7649,68.7246346336,4.7064,0.002,9.4387755112,12,1309.3217938473,10.08,3518.2842686293,15.9426
6916,34.2752,68.5353800862,4.3461,0.001,9.4387755112,12,1307.130626543,9.36,3531.1637534499,18.24668
6917,51.5856,67.9676164441,3.9488,0.001,9.4387755112,12,1304.6328338761,9.36,3567.6172953082,14.9328
6918,49.6954,68.0685522027,3.4049,0.001,9.4387755112,12,1303.9482623157,10.26,3620.630174793,9.3251
6919,29.5666,67.9234570497,3.9474,0.001,9.4387755112,12,1308.6881449178,9.54,3545.8831646734,8.17157
6920,42.4169999999,68.2199558406,9.6013,0.002,9.4387755112,12,1309.3077340706,9.72,3517.479300828,10.64614
6921,73.5033,67.7657449269,6.7348,0.005,9.4387755112,12,1313.0673437877,9.72,3487.46550138,14.84085
6922,44.3062,68.7120176638,4.2527,0.005,9.4387755112,12,1313.4457179373,10.26,3544.5032198712,17.02123
6923,61.51,68.3587425087,5.5026,0.003,9.4387755112,12,1312.418765062,10.26,3530.8187672493,8.91267
6924,38.1085,67.8162128062,4.767,0.002,9.4387755112,12,1312.9355686667,9.36,3529.6688132475,7.60648
6925,73.3681,68.3208915992,4.4715,0.001,9.4387755112,12,1311.4016201042,9.36,3528.1738730451,9.00629
6926,50.4424,68.3461255388,4.6146,0.002,9.4387755112,12,1320.083471217,9.36,3341.1913523459,15.632
6927,53.6155,67.8414467459,4.0809,0.002,9.4387755112,12,1306.1398538307,9,3630.7497700092,31.68267
6928,50.1737,67.5134055304,4.1697,0.002,9.4387755112,12,1311.8592994232,9.54,3504.7148114076,32.88287
6929,47.6368,67.8666806855,4.1504,0.002,9.4387755112,12,1308.7343447968,9,3460.5565777369,27.49746
6930,54.2997,68.1064031122,5.1725,0.002,9.4387755112,12,1303.6955698384,8.64,3591.1913523459,24.97865
6931,59.1622,68.5038376617,4.4232,0,9.4387755112,12,1300.7929100332,-158.98,3676.4029438823,35.91963
6932,53.3307,67.8666806855,3.7676,0,9.4387755112,12,1305.3033340148,-159.7,3571.4121435143,54.14472
6933,42.9434,68.3587425087,5.4928,0,9.4387755112,12,1313.1402958664,-160.24,3383.739650414,48.858484
6934,63.9511,68.6047734203,4.6494,0.001,9.4387755112,12,1318.2053523268,-160.6,3289.4434222631,52.10118
6935,41.4743,68.3965934181,4.5927,0.001,9.4387755112,12,1318.7294324448,0,3315.8923643054,51.282384
6936,59.6694,68.3650509936,4.858,0.001,9.4387755112,12,1312.3688776849,0,3467.5712971481,50.780784
6937,54.5101,68.3587425087,4.6619,0.001,9.4387755112,12,1307.8209278938,170.86,3593.2612695492,50.280848
6938,39.8057,68.5732309957,4.8502,0,9.4387755112,12,1308.0719074698,171.22,3606.3707451702,49.97304
6939,53.2653,68.5227631164,4.8727,0.001,9.4387755112,12,1311.1155729628,171.94,3578.3118675253,52.46239
6940,55.7346,68.5984649353,5.139,0.001,9.4387755112,12,1319.332358234,172.48,3475.3909843606,63.3804
6941,52.3414,68.4722952371,5.0608,0.001,9.4387755112,12,1320.6843603148,172.84,3438.2474701012,72.324522
6942,63.214,68.3713594785,7.1172,0.001,9.4387755112,12,1316.3336774638,9,3464.2364305428,91.498648
6943,47.6586,68.3965934181,6.8247,0.004,9.4387755112,12,1318.7825223199,9.18,3449.5170193192,102.94243
6944,36.708,68.2262643255,5.3122,0.004,9.4387755112,12,1314.9518476561,9.36,3524.9540018399,113.2645400001
6945,44.4877,68.623698875,5.5252,0.002,9.4387755112,12,1310.4879431157,9,3570.9521619135,23.48821
6946,50.1474,68.333508569,5.052,0.003,9.4387755112,12,1309.1821541911,8.82,3570.9521619135,29.71012
6947,44.8721,68.0180843234,5.2471,0.003,9.4387755112,12,1310.5622778002,8.82,3602.2309107636,36.0298
6948,38.3657,68.0874776574,4.9583,0.003,9.4387755112,12,1309.9280911634,9.18,3627.2999080037,42.79128
6949,59.4587,67.6648091683,4.7919,0.001,9.4387755112,12,1311.7598852133,8.82,3598.5510579577,18.53774
6950,33.5587,67.6648091683,4.9768,0.001,9.4387755112,12,1311.7729570791,8.46,3540.8233670653,45.3952
6951,30.5389,68.3398170539,4.6782,0.002,9.4387755112,12,1312.4614511657,8.46,3569.1122355106,50.85666
6952,38.3105,68.9769740301,6.4709,0.003,9.4387755112,12,1311.1162223279,8.46,3559.9126034959,60.42851
6953,34.4112,68.1442540217,5.5639,0.002,9.4387755112,12,1315.8323120508,8.28,3473.4360625575,70.65613
6954,35.5656,68.7246346336,4.9642,0.002,9.4387755112,12,1313.3957521131,8.64,3466.9963201472,88.44377
6955,40.1093,68.4344443276,5.3772,0.002,9.4387755112,12,1310.5093619884,8.28,3516.214351426,103.568
6956,43.0131,68.0180843234,5.0953,0.001,9.4387755112,12,1309.2197304235,8.46,3581.9917203312,102.7778700001
6957,43.2795,67.8225212911,4.6382,0.001,9.4387755112,12,1309.8758498962,9,3630.9797608096,24.53571
6958,39.2781,67.9423825045,5.4492,0.001,9.4387755112,12,1310.4601028551,8.46,3566.0073597056,22.75491
6959,40.1093,67.8919146252,5.3915,0.001,9.4387755112,12,1311.7502503725,8.46,3537.8334866605,36.18467
6960,43.0131,68.2451897803,7.5017,0.002,9.4387755112,12,1311.7502503725,8.46,3532.3137074517,102.91174
6961,43.2876,67.8477552308,5.7271,0.002,9.4387755112,12,1312.3482265779,8.1,3554.392824287,165.058
6962,40.1093,67.9928503838,9.3592,0.002,9.4387755112,12,1311.143390033,8.1,3548.8730450782,165.25348
6963,43.0131,67.8919146252,5.3202,0.003,9.4387755112,12,1310.4601028551,8.1,3571.5271389145,184.1063999999
6964,43.32,68.1505625066,5.3316,0.002,9.4387755112,12,1311.0948034552,8.1,3577.506899724,134.646
6965,43.2876,67.9171485648,4.9274,0.002,9.4387755112,12,1312.2504624392,7.92,3572.3321067157,134.2549299999
6966,40.1093,67.9928503838,5.664,0.002,9.4387755112,12,1312.1837655181,8.28,3551.4029438823,96.00214
6967,43.0131,68.0748606876,6.0616,0.002,9.4387755112,12,1311.7496283453,8.28,3546.5731370745,142.2285300001
6968,43.3007,67.9865418989,6.2405,0.003,9.4387755112,12,1312.3588842834,8.28,3543.3532658694,179.8654900001
6969,41.3951,68.3713594785,8.2488,0.002,9.4387755112,12,1311.0948034552,8.1,3547.0331186753,225.81908
6970,41.8818,68.4722952371,6.1702,0.003,9.4387755112,12,1310.4601028551,8.1,3552.5528978841,271.92596
6971,40.1093,67.9486909894,8.1495,0.004,9.4387755112,12,1310.4879431157,8.1,3541.5133394664,288.00987
6972,43.0131,67.8729891704,6.1133,0.004,9.4387755112,12,1310.725935986,8.1,3547.493100276,282.99477
6973,43.4516,68.0117758385,5.4535,0.003,9.4387755112,12,1311.5150923722,8.1,3539.4434222631,267.60821
6974,46.4061,65.7029,5.8367,0.003,9.4387755112,12,1309.8532425156,8.1,3532.3137074517,226.67857
6975,49.0363,65.7091788455,9.4554,0.007,9.4387755112,12,1309.8532425156,7.92,3529.5538178473,240.1136
6976,43.6856,65.5388,8.0181,0.009,9.4387755112,12,1310.5087126233,8.1,3531.6237350506,251.40116
6977,40.278,65.2802,8.8156,0.01,9.4387755112,12,1311.7742809889,8.1,3520.009199632,265.5488
6978,40.1093,65.3432867206,8.3643,0.01,9.4387755112,12,1311.068688007,8.28,3521.274149034,292.56951
6979,43.0131,65.822731574,6.8086,0.005,9.4387755112,12,1311.1162223279,8.28,3527.0239190432,304.3228699999
6980,43.2876,65.4189885396,6.6653,0.003,9.4387755112,12,1310.458782915,8.28,3529.7838086477,365.39346
6981,40.1093,67.254757649,6.1971,0.003,9.4387755112,12,1309.6171934619,6.66,3560.7175712972,385.60182
6982,43.0131,68.9265061508,5.9148,0.002,9.4387755112,12,1305.4545113799,7.02,3622.470101196,437.2742599992
6983,43.3736,63.9617285249,6.3874,0.003,9.4387755112,12,1309.1875157939,7.38,3574.1720331187,56.7740500001
6984,48.6517,64.2329933761,6.1325,0.003,9.4387755112,12,1310.4879431157,6.84,3543.9282428703,109.0496
6985,45.8247,63.9617285249,6.3762,0.003,9.4387755112,12,1304.8241413755,6.84,3662.48850046,137.3185499999
6986,43.2228,67.8982,6.0159,0.003,9.4387755112,12,1312.7699090126,9.72,3575.5519779209,40.50189
6987,40.1093,63.7031,6.5419,0.001,9.4387755112,12,1317.1891991508,10.62,3585.6715731371,97.1347200001
6988,42.9807,49.5468405005,7.7138,0.002,9.4387755112,12,1318.4932593489,9.9,3610.6818751084,158.45221
6989,40.1093,60.3028072758,7.1043,0.001,9.4387755112,12,1318.6574196347,8.64,3626.8665343635,321.60626
6990,43.0131,49.4648301966,7.5206,0.001,9.4387755112,12,1317.8429271209,8.1,3652.7619891717,317.7493299998
6991,43.5742,68.9643570602,6.6042,0.002,9.4387755112,12,1312.1160159339,8.82,3750.3324,118.5434000001
6992,48.74,68.9202,8.0115,0.003,9.4387755112,12,1312.7532155722,9,3750.3324,15.51212
6993,47.47,68.8634213017,8.15,0.002,9.4387755112,12,1315.2895670465,8.28,3611.4186851211,14.38172
6994,35.24,63.4759751866,7.2235,0.003,9.4387755112,12,1316.2931674589,6.84,3615.5709342561,19.10949
6995,34.33,68.333508569,13.4318,0.002,9.4387755112,12,1320.3003030686,6.66,3493.0795847751,43.5144700001
6996,24.71,68.049626748,5.7078,0.003,9.4387755112,12,1317.1957800673,6.12,3593.7716262976,481.8139300002
6997,36.76,67.3620018925,7.4763,0.002,9.4387755112,12,1319.3928794381,7.02,3642.5605536332,185.74362
6998,43.85,68.3650509936,8.0977,0.002,9.4387755112,12,1317.8435690226,7.56,3564.705882353,180.29317
6999,38.49,69.2293134266,7.8682,0.002,9.4387755112,12,1317.8225177786,7.38,3547.0588235294,163.4489000001
7000,25.93,68.7372516034,7.6973,0.003,9.4387755112,12,1316.300526615,7.7922,3557.4394463668,120.95007
7001,36.36,68.9138891809,8.4084,0.002,9.4387755112,12,1316.5347171594,14.0184,3546.0207612457,98.80491
7002,33.83,68.8634213017,7.2657,0.002,9.4387755112,12,1316.5695439874,8.6238,3547.0588235294,22.72079
7003,44.76,68.7751025129,7.8211,0.002,9.4387755112,12,1317.0087384344,6.2982,3526.2975778547,18.4821
7004,30.89,68.8003364525,6.9497,0.002,9.4387755112,12,1318.4659683042,6.3054,3536.6782006921,23.0923099999
7005,27.95,68.3713594785,7.9015,0.002,9.4387755112,12,1318.8800787046,7.5618,3526.4013840831,97.2846700001
7006,30.38,68.9328146357,7.0605,0.001,9.4387755112,12,1319.257936999,8.0946,3536.7612456748,196.7821
7007,24.9,68.9895909999,7.0733,0.003,9.4387755112,12,1320.0849606837,8.1,3541.5328719716,239.25444
7008,24.9,164.469561535,3.4724,0.004,9.4387755112,12,1004.637033545,7.56,3199.5,221.2540400001
7009,24.7636,159.2850933745,6.6778,0.004,9.4387755112,12,1016.6443672253,-16.38,3150.25,460.5680200002
7010,11.3694,195.7955112401,6.5602,0.005,9.4387755112,12,1102.1851965593,-15.3,3175.05,154.0919000005
7011,22.2304,194.7807785878,16.5347,0.004,9.4387755112,12,1096.9545906805,-15.3,3179.875,597.73586
7012,25.2096,194.4931874049,22.3732,0.007,9.4387755112,12,1091.6413271403,-15.48,3167.43,601.52
7013,23.7696,216.3500638199,43.2503,0.009,9.4387755112,12,1092.5307371061,-15.12,3163.965,617.837
7014,28.6567,216.186089259,57.1947,0.01,9.4387755112,12,1090.5312542331,-14.94,3160.465,617.99318
7015,26.5972,201.3079951072,62.7078,0.01,9.4387755112,12,1084.9876342448,-14.76,3156.93,633.455
7016,38.5784,226.9176443289,67.2138,0.01,9.4387755112,12,1087.3472545946,-14.76,3153.43,633.68432
7017,32.1208,219.1749953828,53.0059,0.014,9.4387755112,12,1089.0928731409,-14.76,3149.965,644.97164
7018,31.281,219.1333690411,34.8844,0.016,9.4387755112,12,1090.3023672989,-14.76,3146.57,649.985
7019,34.8674,218.4103438415,40.0622,0.015,9.4387755112,12,1088.6543382557,-14.94,3150.1,650.26312
7020,40.1188,217.633454723,43.0723,0.017,9.4387755112,12,1089.2661971614,-14.94,3155.025,663.79175
7021,39.0768,215.8253161318,39.6524,0.017,9.4387755112,12,1086.4750003967,-14.76,3157.585,653.966
7022,42.349,194.0032227081,54.9359,0.017,9.4387755112,12,1083.4673740379,-14.94,3161.788,653.9493
7023,42.1731,195.317579915,52.5659,0.019,9.4387755112,12,1082.8649262296,-14.94,3165.588,652.33827
7024,34.3615,202.509379306,54.3186,0.019,9.4387755112,12,1082.151656559,-14.76,3169.388,656.523
7025,14.8294,219.4358237059,72.32,0.02,9.4387755112,12,1094.8231318299,-14.4,3173.226,657.00324
7026,20.7124,219.191903204,87.942,0.023,9.4387755112,12,1093.0296903385,-14.4,3176.988,680.535
7027,24.0508,218.9103913741,82.38,0.023,9.4387755112,12,1090.4287529382,-14.22,3180.864,680.535
7028,28.4987,218.4191603386,86.7462,0.023,9.4387755112,12,1089.9588734335,-14.22,3184.664,681.51033
7029,35.5802,218.7576194474,39.68,0.026,9.4387755112,12,1092.79917591,-14.04,3188.426,713.046
7030,36.1164,218.7311855851,36.7418,0.025,9.4387755112,12,1090.8379037524,-13.86,3192.188,712.84926
7031,39.7473,219.2172130061,37.0058,0.022,9.4387755112,12,1091.697042649,-13.68,3196.064,693.372
7032,40.5986,214.3511133273,39.7317,0.022,9.4387755112,12,1087.6803403531,-13.5,3199.788,693.19485
7033,37.5022,216.5497747611,34.9775,0.02,9.4387755112,12,1089.0861488431,-13.5,3203.588,675.20839
7034,38.7018,218.4866311181,37.997,0.016,9.4387755112,12,1090.9442776412,-13.5,3207.426,630.37498
7035,38.3162,217.958373917,52.4802,0.012,9.4387755112,12,1090.1949330553,-13.32,3211.188,609.51172
7036,39.9079,218.1018753437,45.5143,0.009,9.4387755112,12,1089.27821878,-13.14,3214.988,585.93055
7037,38.7475,218.4462673634,39.9731,0.008,9.4387755112,12,1088.5445607516,-12.96,3186.5957956937,537.772
7038,42.5612,218.4751875262,37.2696,0.009,9.4387755112,12,1089.5246837283,-12.96,3210,537.2631
7039,47.4815,218.2585675518,35.2953,0.009,9.4387755112,12,1090.3656659273,-12.6,3199.5,511.90981
7040,43.6204,217.7448264131,35.8063,0.007,9.4387755112,12,1087.7260548573,-12.78,3150.25,470.608
7041,38.793,218.9409062806,34.5746,0.007,9.4387755112,12,1091.8970627786,-12.6,3175.1,470.16074
7042,42.8408,217.8607545101,40.6542,0.007,9.4387755112,12,1088.6486687908,-12.6,3179.875,448.08761
7043,40.9288,217.8759410614,38.0921,0.006,9.4387755112,12,1089.5251335891,-12.42,3167.465,432.506
7044,39.8271,218.5586419006,37.324,0.006,9.4387755112,12,1089.964118335,-12.42,3163.965,432.48415
7045,40.4986,216.5578878091,38.7079,0.007,9.4387755112,12,1090.2901445275,-12.24,3160.465,430.321
7046,37.5054,218.2726807169,38.429,0.007,9.4387755112,12,1089.5198886876,-12.06,3156.93,430.8910400001
7047,43.079,218.1879065619,35.0646,0.006,9.4387755112,12,1090.4037129594,-12.42,3153.43,458.823
7048,39.1333,218.3215020967,40.6992,0.006,9.4387755112,12,1090.1264564146,-12.24,3149.965,459.12041
7049,41.521,218.1374386826,42.5306,0.005,9.4387755112,12,1090.4037129594,-11.88,3146.57,488.564
7050,45.2743,219.0762930584,39.1696,0.005,9.4387755112,12,1091.7761711591,-12.06,3150.15,489.11681
7051,38.3264,218.992066602,40.4734,0.007,9.4387755112,12,1091.7118291335,-12.06,3155.05,507.7773400001
7052,39.6291,214.7601497716,41.6903,0.007,9.4387755112,12,1092.9103299076,-12.06,3157.5425,546.308
7053,40.5604,213.9352943501,48.6403,0.007,9.4387755112,12,1092.5887699413,-11.88,3161.788,546.8176300001
7054,43.4626,216.7441526806,47.5903,0.006,9.4387755112,12,1088.6486687908,-11.88,3165.588,597.52899
7055,32.4898,216.8866441014,38.8086,0.011,9.4387755112,12,1090.8669218865,-11.88,3169.426,624.25752
7056,15.7299,208.8584480082,43.6525,0.011,9.4387755112,12,1099.2184573322,-11.88,3173.188,682.446
7057,17.3749,208.2189,44.6992,0.011,9.4387755112,12,1094.2010293927,-11.88,3177.064,682.446
7058,25.5742,198.3165162172,38.4581,0.011,9.4387755112,12,1088.2159670667,-11.7,3180.788,682.69178
7059,19.4428,219.7558708968,31.1884,0.013,9.4387755112,12,1101.4765111722,-11.52,3184.626,704.85758
7060,37.8781,219.2135121174,23.772,0.012,9.4387755112,12,1097.0019903125,-11.34,3188.464,598.703
7061,27.63,219.5585944509,24.0998,0.009,9.4387755112,12,1098.8447531613,-11.34,3192.188,596.0335700002
7062,43.2219,198.1113088271,18.1755,0.009,9.4387755112,12,1095.9520353008,-10.98,3195.988,331.76
7063,18.7126,177.8894422159,21.7438,0.009,9.4387755112,12,1101.0705113262,-10.62,3199.788,329.66573
7064,24.0962,158.922273218,27.154,0.009,9.4387755112,12,1093.5181800304,-10.26,3203.588,122.333
7065,41.368,167.2787697418,35.106,0.007,9.4387755112,12,1088.2159617272,-10.08,3207.426,121.77932
7066,33.1202,165.4916668191,17.1952,0.008,9.4387755112,12,1089.964118335,-9.9,3211.226,94.4001
7067,41.7545,160.346066454,13.5224,0.006,9.4387755112,12,1084.7424935862,-10.08,3214.988,82.11751
7068,22.4233,206.5024277302,12.8328,0.005,9.4387755112,12,1098.5771554707,-10.44,3186.5957957025,73.51449
7069,24.5206,205.5139009188,19.0638,0.005,9.4387755112,12,1097.2107010991,-10.8,3180,69.48444
7070,17.9393,205.5902098516,19.494,0.005,9.4387755112,12,1096.1677532344,-10.98,3199.4999999999,68.85999
7071,36.597,203.5010005594,17.9061,0.005,9.4387755112,12,1092.5883189927,-10.98,3150.25,69.78697
7072,28.3375,214.0320111314,17.6029,0.005,9.4387755112,12,1096.5565869074,-10.98,3175.05,83.34339
7073,24.295,182.9402424365,25.831,0.007,9.4387755112,12,1011.3941161749,-10.8,3179.875,93.01626
7074,40.4741,221.3175680173,27.9373,0.008,9.4387755112,12,1147.0228881921,-10.62,3167.465,116.04549
7075,25.1909,224.4412751483,30.7028,0.008,9.4387755112,12,1185.9319527932,-10.62,3163.965,149.12431
7076,40.4307,217.0884995999,37.1314,0.008,9.4387755112,12,1189.2870268377,-10.44,3160.465,165.33862
7077,39.6896,215.4849,57.6955999999,0.008,9.4387755112,12,1181.7070848427,-10.26,3156.965,179.755
7078,29.2866,217.5182,21.5689,0.007,9.4387755112,12,1190.6256398,-10.26,3153.465,180.05887
7079,31.8504,218.1496040368,16.5628,0.006,9.4387755112,12,1188.772915114,-10.08,3149.93,211.0182400001
7080,33.2002,218.1701857587,19.1796,0.006,9.4387755112,12,1189.3091813536,-9.9,3146.57,253.954
7081,26.3794,217.7018321783,20.6924,0.004,9.4387755112,12,1189.8214308511,-9.72,3150.05,254.26924
7082,29.373,217.4480580183,26.8622,0.005,9.4387755112,12,1190.7152867739,-9.54,3155.025,285.8355399999
7083,37.4918,217.8316827911,26.0378,0.005,9.4387755112,12,1190.8491287695,-9.72,3157.5425,320.88046
7084,27.8288,218.5198958395,20.8126,0.003,9.4387755112,12,1193.8533139521,-10.62,3161.826,286.9859000001
7085,30.71,217.9272783558,17.9268,0.003,9.4387755112,12,1194.0466428858,-10.26,3165.626,333.21134
7086,30.71,155.6399232174,14.3142,0.003,9.4387755112,12,998.0830733861,-10.08,3169.388,418.42788
7087,30.71,158.323513133,11.7187,0.003,9.4387755112,12,996.4352954012,-10.08,3173.188,421.9011099999
7088,30.71,192.729055331,7.6613,0.003,9.4387755112,12,998.9042224335,-10.08,3176.988,393.6080799999
7089,17.57,213.8536502035,10.8546,0.004,9.4387755112,12,998.0757385835,-9.9,3180.788,305.6746100001
7090,26.18,217.2697573528,20.248,0.004,9.4387755112,12,1193.79770982,-10.44,3184.626,234.158
7091,32.05,217.3252999822,21.5547,0.002,9.4387755112,12,1190.169657103,-10.08,3188.388,233.43615
7092,24.86,211.0172458364,15.1534,0.003,9.4387755112,12,1191.6965887529,-9.54,3192.188,161.88249
7093,31.95,210.8207380464,21.3953,0.002,9.4387755112,12,1191.7370729467,-9.36,3195.988,152.85621
7094,31.04,215.7346719624,17.9885,0.003,9.4387755112,12,1192.2580013734,-9.36,3199.788,146.14986
7095,22.48,215.9428,20.7856,0.002,9.4387755112,12,1192.2574675254,-9.18,3203.588,126.99506
7096,15.85,215.0392711131,18.336,0.002,9.4387755112,12,1192.7230750506,-9.18,3207.426,123.6158
7097,19.29,212.2899898111,16.6333,0.002,9.4387755112,12,1194.2559494639,-9,3211.188,122.67931
7098,22.31,200.1893,13.0584,0.002,9.4387755112,12,1195,-9,3215.102,122.86596
7099,26.07,201.2348118128,14.4787,0.003,9.4387755112,12,1189.8548957145,-8.1,3186.5957957025,116.90145
7100,31.54,208.679861166,16.3334,0.003,9.4387755112,12,1190.0531839787,-8.1,3195,96.72588
7101,24.66,214.5932327557,16.7279,0.003,9.4387755112,12,1189.7850140116,-8.1,3198.5,94.21746
7102,21.62,214.6122569518,18.602,0.005,9.4387755112,12,1190.595214461,-8.1,3150.25,90.374
